case_number,agency,area,reported_date,crime_code,block_address,verified,locality,description,address,lon,lat
2021-00026408,CPD,CASE,2021-09-18T01:39:16Z,13A,300 2ND ST,CASE,Charlottesville,Aggravated Assault,300 2ND ST Charlottesville,-78.4799019,38.0322582
2021-00026410,CPD,DC-3,2021-09-18T02:17:14Z,Shots Fired,PAGE ST,VERIFIED,Charlottesville,Shots Fired,PAGE ST Charlottesville,-78.4926015,38.0347784
2021-00026411,CPD,CASE,2021-09-18T02:27:34Z,13A,1400 HAMPTON ST,CASE,Charlottesville,Aggravated Assault,1400 HAMPTON ST Charlottesville,-78.4691263,38.0192101
2021-00026471,CPD,DN-12,2021-09-18T21:15:07Z,Shots Fired,RUGBY RD,VERIFIED,Charlottesville,Shots Fired,RUGBY RD Charlottesville,-78.494698,38.0450218
2021-00047968,ACPD,S1-7,2021-09-24T21:58:24Z,Shots Fired,FOUR SEASONS DR,VERIFIED,Albemarle County,Shots Fired,FOUR SEASONS DR Albemarle County,-78.4867677,38.0797642
2021-00027134,CPD,CASE,2021-09-25T00:44:15Z,13A,100 RUGBY RD,CASE,Charlottesville,Aggravated Assault,100 RUGBY RD Charlottesville,-78.5033943,38.0368693
2021-00048127,ACPD,S3-20,2021-09-25T23:05:43Z,Shots Fired,5300 MARKWOOD RD,VERIFIED,Albemarle County,Shots Fired,5300 MARKWOOD RD Albemarle County,-78.50518199999999,38.1820333
2021-00048878,ACPD,S5-13,2021-09-29T06:15:56Z,Shots Fired,7400 BLENHEIM RD,VERIFIED,Albemarle County,Shots Fired,7400 BLENHEIM RD Albemarle County,-78.4949604,37.8335912
2021-00049227,ACPD,CASE,2021-09-30T13:27:37Z,13A,2100 FRAY RD,CASE,Albemarle County,Aggravated Assault,2100 FRAY RD Albemarle County,-78.4257362,38.1951923
2021-00027694,CPD,CASE,2021-09-30T18:12:40Z,13A,EMMET ST N @ BARRACKS RD,CASE,Charlottesville,Aggravated Assault,EMMET ST N @ BARRACKS RD Charlottesville,-78.49905420000002,38.0526871
2021-00027884,CPD,DS-9,2021-10-02T02:17:41Z,Shots Fired,CHERRY AVE,VERIFIED,Charlottesville,Shots Fired,CHERRY AVE Charlottesville,-78.501605,38.0253492
2021-00027887,CPD,DS-9,2021-10-02T02:43:08Z,Shots Fired,NALLE ST,VERIFIED,Charlottesville,Shots Fired,NALLE ST Charlottesville,-78.4932565,38.0299004
2021-00028547,CPD,DN-15,2021-10-08T22:35:55Z,Shots Fired,1600 MASON LN,VERIFIED,Charlottesville,Shots Fired,1600 MASON LN Charlottesville,-78.4883735,38.04701319999999
2021-00028553,CPD,DS-3,2021-10-08T23:29:54Z,Shots Fired,1ST ST,VERIFIED,Charlottesville,Shots Fired,1ST ST Charlottesville,-78.4866609,38.0215864
2021-00028566,CPD,DC-5,2021-10-09T02:15:35Z,Shots Fired,MINOR COURT LN,VERIFIED,Charlottesville,Shots Fired,MINOR COURT LN Charlottesville,-78.5002988,38.0352457
2021-00029800,CPD,DS-2,2021-10-20T23:07:15Z,Shots Fired,MONTICELLO AVE,VERIFIED,Charlottesville,Shots Fired,MONTICELLO AVE Charlottesville,-78.4757521,38.0174618
2021-00053760,ACPD,S5-13,2021-10-22T19:50:01Z,Shots Fired,100 FAIRWOOD LN,VERIFIED,Albemarle County,Shots Fired,100 FAIRWOOD LN Albemarle County,-78.54140799999999,37.9360596
2021-00053904,ACPD,CASE,2021-10-23T15:54:45Z,13A,162 SCOTTSVILLE,CASE,Albemarle County,Aggravated Assault,162 SCOTTSVILLE Albemarle County,-78.5429059,37.9081335
2021-00054011,ACPD,S5-13,2021-10-24T05:17:04Z,Shots Fired,2200 ROSE HILL CHURCH LN,VERIFIED,Albemarle County,Shots Fired,2200 ROSE HILL CHURCH LN Albemarle County,-78.4182113,37.9927667
2021-00055358,ACPD,CASE,2021-10-30T04:35:03Z,13A,100 WEGMANS WAY,CASE,Albemarle County,Aggravated Assault,100 WEGMANS WAY Albemarle County,-78.5004549,38.008772
2021-00030910,CPD,CASE,2021-10-31T23:03:57Z,13A,700 PROSPECT AVE,CASE,Charlottesville,Aggravated Assault,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2021-00055829,ACPD,S3-9,2021-11-01T23:47:27Z,Shots Fired,2300 RIVERS EDGE RD,VERIFIED,Albemarle County,Shots Fired,2300 RIVERS EDGE RD Albemarle County,-78.4172246,38.1526916
2021-00056883,ACPD,S3-8,2021-11-06T20:51:17Z,Shots Fired,3200 GATEWAY CIR,VERIFIED,Albemarle County,Shots Fired,3200 GATEWAY CIR Albemarle County,-78.437369,38.1253123
2021-00032678,CPD,DS-9,2021-11-20T00:35:21Z,Shots Fired,1000 FOREST HILLS AVE,VERIFIED,Charlottesville,Shots Fired,1000 FOREST HILLS AVE Charlottesville,-78.495728,38.0253239
2021-00032809,CPD,CASE,2021-11-21T18:04:33Z,13A,700 PROSPECT AVE,CASE,Charlottesville,Aggravated Assault,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2021-00033616,CPD,DN-19,2021-11-30T22:41:04Z,Shots Fired,ANGUS RD,VERIFIED,Charlottesville,Shots Fired,ANGUS RD Charlottesville,-78.4985306,38.0612693
2021-00062998,ACPD,S7-16,2021-12-02T19:35:38Z,Shots Fired,200 TURKEY RIDGE RD,VERIFIED,Albemarle County,Shots Fired,200 TURKEY RIDGE RD Albemarle County,-78.6471449,38.0376426
2021-00063004,ACPD,S7-16,2021-12-02T20:08:08Z,Shots Fired,APPLE LN,VERIFIED,Albemarle County,Shots Fired,APPLE LN Albemarle County,-78.6114999,38.0567092
2021-00034701,CPD,CASE,2021-12-11T05:43:57Z,13A,800 HARDY DR,CASE,Charlottesville,Aggravated Assault,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2021-00035065,CPD,CASE,2021-12-15T01:54:32Z,13A,2500 JEFFERSON PARK AVE,CASE,Charlottesville,Aggravated Assault,2500 JEFFERSON PARK AVE Charlottesville,-78.5144704,38.0203443
2021-00066896,ACPD,S8-19,2021-12-17T16:39:12Z,Shots Fired 2,4700 BREAK HEART RD,VERIFIED,Albemarle County,Shots Fired,4700 BREAK HEART RD Albemarle County,-78.6643661,38.1386112
2021-00035358,CPD,CASE,2021-12-18T03:57:06Z,13A,1100 RIVER RD,CASE,Charlottesville,Aggravated Assault,1100 RIVER RD Charlottesville,-78.45689019999999,38.0374735
2021-00068068,ACPD,S6-4,2021-12-21T23:22:17Z,Shots Fired 2,2000 TREETOP DR,VERIFIED,Albemarle County,Shots Fired,2000 TREETOP DR Albemarle County,-78.5251421,38.0110316
2021-00035831,CPD,DS-3,2021-12-24T04:43:10Z,Shots Fired 2,6TH ST,VERIFIED,Charlottesville,Shots Fired,6TH ST Charlottesville,-78.4902638,38.028322
2021-00069165,ACPD,S4-12,2021-12-26T14:20:57Z,Shots Fired 2,2100 UNION MILLS RD,VERIFIED,Albemarle County,Shots Fired,2100 UNION MILLS RD Albemarle County,-78.3368115,37.9755292
2021-00069172,ACPD,CASE,2021-12-26T14:53:11Z,13A,4600 GARTH RD,CASE,Albemarle County,Aggravated Assault,4600 GARTH RD Albemarle County,-78.6576844,38.1174689
2021-00069762,ACPD,S4-11,2021-12-28T20:36:25Z,Shots Fired 2,2000 LINDSAY RD,VERIFIED,Albemarle County,Shots Fired,2000 LINDSAY RD Albemarle County,-78.2385896,38.0775048
2021-00036304,CPD,DC-3,2021-12-31T02:59:41Z,Shots Fired 2,HARDY DR,VERIFIED,Charlottesville,Shots Fired,HARDY DR Charlottesville,-78.4915826,38.0335602
2022-00000009,CPD,DS-1,2022-01-01T01:40:21Z,Shots Fired 2,GARRETT ST,VERIFIED,Charlottesville,Shots Fired,GARRETT ST Charlottesville,-78.4812204,38.0282846
2022-00000752,ACPD,S1-6,2022-01-04T19:05:51Z,Shots Fired 2,2200 COMMONWEALTH DR,VERIFIED,Albemarle County,Shots Fired,2200 COMMONWEALTH DR Albemarle County,-78.49312599999999,38.0696355
2022-00000550,CPD,CASE,2022-01-07T22:05:37Z,13A,400 NICHOLSON ST,CASE,Charlottesville,Aggravated Assault,400 NICHOLSON ST Charlottesville,-78.4600822,38.0493217
2022-00001466,ACPD,S1-6,2022-01-07T23:41:41Z,Shots Fired 2,2200 COMMONWEALTH DR,VERIFIED,Albemarle County,Shots Fired,2200 COMMONWEALTH DR Albemarle County,-78.49312599999999,38.0696355
2022-00000788,CPD,DN-8,2022-01-10T23:52:16Z,Shots Fired 2,1600 MADISON AVE,VERIFIED,Charlottesville,Shots Fired,1600 MADISON AVE Charlottesville,-78.48672359999999,38.0416287
2022-00001045,CPD,CASE,2022-01-14T10:52:08Z,13A,900 1ST ST,CASE,Charlottesville,Aggravated Assault,900 1ST ST Charlottesville,-78.48562609999999,38.022898
2022-00001082,CPD,DN-18,2022-01-14T21:44:00Z,Shots Fired 2,2100 MICHIE DR,VERIFIED,Charlottesville,Shots Fired,2100 MICHIE DR Charlottesville,-78.483828,38.062986
2022-00003101,ACPD,S1-6,2022-01-15T00:22:37Z,Shots Fired 2,100 GREEN TURTLE LN,VERIFIED,Albemarle County,Shots Fired,100 GREEN TURTLE LN Albemarle County,-78.4941607,38.0694076
2022-00003184,ACPD,S5-14,2022-01-15T09:26:46Z,Shots Fired 2,8800 CHESTNUT GROVE RD,VERIFIED,Albemarle County,Shots Fired,8800 CHESTNUT GROVE RD Albemarle County,-78.6317439,37.7844518
2022-00005850,ACPD,S1-6,2022-01-25T19:48:13Z,Shots Fired 2,2300 PEYTON DR,VERIFIED,Albemarle County,Shots Fired,2300 PEYTON DR Albemarle County,-78.4934019,38.0729196
2022-00002141,CPD,DC-3,2022-01-29T21:06:54Z,Shots Fired 2,800 HARDY DR,VERIFIED,Charlottesville,Shots Fired,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2022-00002288,CPD,DS-1,2022-01-31T19:43:24Z,Shots Fired 2,600 MONTROSE AVE,VERIFIED,Charlottesville,Shots Fired,600 MONTROSE AVE Charlottesville,-78.4823648,38.0225696
2022-00002619,CPD,DC-3,2022-02-05T00:25:54Z,Shots Fired 2,800 HARDY DR,VERIFIED,Charlottesville,Shots Fired,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2022-00008608,ACPD,S6-4,2022-02-05T21:27:36Z,Shots Fired 2,100 YELLOWSTONE DR,VERIFIED,Albemarle County,Shots Fired,100 YELLOWSTONE DR Albemarle County,-78.5232576,38.0160207
2022-00002708,CPD,DS-2,2022-02-06T01:21:06Z,Shots Fired 2,4TH ST,VERIFIED,Charlottesville,Shots Fired,4TH ST Charlottesville,-78.4783692,38.0319429
2022-00003063,CPD,DN-8,2022-02-10T03:11:52Z,Shots Fired 2,1100 MEADOW ST,VERIFIED,Charlottesville,Shots Fired,1100 MEADOW ST Charlottesville,-78.4867211,38.0416386
2022-00010158,ACPD,S1-6,2022-02-11T01:07:43Z,Shots Fired 2,2200 COMMONWEALTH DR,VERIFIED,Albemarle County,Shots Fired,2200 COMMONWEALTH DR Albemarle County,-78.49312599999999,38.0696355
2022-00003256,CPD,CASE,2022-02-11T22:02:54Z,13A,900 HENRY AVE,CASE,Charlottesville,Aggravated Assault,900 HENRY AVE Charlottesville,-78.48680089999999,38.03894140000001
2022-00003275,CPD,CASE,2022-02-12T03:01:59Z,13A,2300 ANGUS RD,CASE,Charlottesville,Aggravated Assault,2300 ANGUS RD Charlottesville,-78.4980199,38.0612197
2022-00011303,ACPD,S1-7,2022-02-15T05:36:16Z,Shots Fired 2,300 WYNRIDGE LN,VERIFIED,Albemarle County,Shots Fired,300 WYNRIDGE LN Albemarle County,-78.4871608,38.0763694
2022-00003600,CPD,CASE,2022-02-15T18:11:36Z,13A,1300 LONG ST,CASE,Charlottesville,Aggravated Assault,1300 LONG ST Charlottesville,-78.4628755,38.0354379
2022-00012633,ACPD,CASE,2022-02-19T14:26:49Z,13A,900 MONACAN TRAIL RD,CASE,Albemarle County,Aggravated Assault,900 MONACAN TRAIL RD Albemarle County,-78.5547074,38.0129221
2022-00004044,CPD,CASE,2022-02-20T17:50:31Z,13A,300 10TH ST,CASE,Charlottesville,Aggravated Assault,300 10TH ST Charlottesville,-78.47275859999999,38.0298911
2022-00013658,ACPD,S8-18,2022-02-22T23:10:17Z,Shots Fired 2,7000 PLANK RD,VERIFIED,Albemarle County,Shots Fired,7000 PLANK RD Albemarle County,-78.7343348,38.0073143
2022-00004344,CPD,CASE,2022-02-23T18:09:40Z,13A,1100 5TH ST,CASE,Charlottesville,Aggravated Assault,1100 5TH ST Charlottesville,-78.497806,38.01713
2022-00004359,CPD,CASE,2022-02-23T20:31:46Z,13A,800 HARDY DR,CASE,Charlottesville,Aggravated Assault,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2022-00014360,ACPD,S2-1,2022-02-25T23:07:40Z,Shots Fired 2,800 OLD BROOK RD,VERIFIED,Albemarle County,Shots Fired,800 OLD BROOK RD Albemarle County,-78.4712795,38.0753958
2022-00014535,ACPD,S6-15,2022-02-26T18:32:35Z,Shots Fired 2,6100 MONACAN TRAIL RD,VERIFIED,Albemarle County,Shots Fired,6100 MONACAN TRAIL RD Albemarle County,-78.710724,37.886703
2022-00014784,ACPD,S3-20,2022-02-27T19:21:39Z,Shots Fired 2,800 SIMMONS GAP RD,VERIFIED,Albemarle County,Shots Fired,800 SIMMONS GAP RD Albemarle County,-78.5041036,38.2099946
2022-00016515,ACPD,S1-6,2022-03-06T07:44:31Z,Shots Fired 1,2200 COMMONWEALTH DR,VERIFIED,Albemarle County,Shots Fired,2200 COMMONWEALTH DR Albemarle County,-78.49312599999999,38.0696355
2022-00016561,ACPD,S7-16,2022-03-06T15:40:48Z,Shots Fired 2,2500 PEA RIDGE RD,VERIFIED,Albemarle County,Shots Fired,2500 PEA RIDGE RD Albemarle County,-78.63962289999999,38.107479
2022-00019473,ACPD,S1-6,2022-03-16T22:09:30Z,Shots Fired 2,COMMONWEALTH DR,VERIFIED,Albemarle County,Shots Fired,COMMONWEALTH DR Albemarle County,-78.4874915,38.0735168
2022-00019656,ACPD,S8-17,2022-03-17T11:34:17Z,Shots Fired 2,1600 BUCK RD,VERIFIED,Albemarle County,Shots Fired,1600 BUCK RD Albemarle County,-78.7054429,38.0792448
2022-00020173,ACPD,S7-5,2022-03-19T12:39:11Z,Shots Fired 2,COLONNADE DR,VERIFIED,Albemarle County,Shots Fired,COLONNADE DR Albemarle County,-78.516937,38.0433708
2022-00020226,ACPD,S4-12,2022-03-19T17:28:47Z,Shots Fired 2,4500 WOODS EDGE RD,VERIFIED,Albemarle County,Shots Fired,4500 WOODS EDGE RD Albemarle County,-78.34475379999999,37.9748185
2022-00006556,CPD,DS-5,2022-03-19T18:26:27Z,Shots Fired 2,700 PROSPECT AVE,VERIFIED,Charlottesville,Shots Fired,700 PROSPECT AVE Charlottesville,-78.49439579999999,38.0246386
2022-00006612,CPD,CASE,2022-03-20T02:14:51Z,13A,2500 JEFFERSON PARK AVE,CASE,Charlottesville,Aggravated Assault,2500 JEFFERSON PARK AVE Charlottesville,-78.5144704,38.0203443
2022-00021177,ACPD,S7-16,2022-03-22T19:22:41Z,Shots Fired 2,WEST LEIGH DR,VERIFIED,Albemarle County,Shots Fired,WEST LEIGH DR Albemarle County,-78.5775442,38.0679452
2022-00022041,ACPD,CASE,2022-03-25T22:48:40Z,13A,300 GREENBRIER DR,CASE,Albemarle County,Aggravated Assault,300 GREENBRIER DR Albemarle County,-78.49014249999999,38.0742595
2022-00007153,CPD,DS-1,2022-03-25T22:50:12Z,Shots Fired 2,100 9TH ST,VERIFIED,Charlottesville,Shots Fired,100 9TH ST Charlottesville,-78.4750408,38.0299035
2022-00007158,CPD,DC-2,2022-03-25T23:31:39Z,Shots Fired 2,MCINTIRE RD,VERIFIED,Charlottesville,Shots Fired,MCINTIRE RD Charlottesville,-78.4788449,38.0378149
2022-00007253,CPD,DN-17,2022-03-26T21:56:21Z,Shots Fired 2,100 BRANDYWINE CT,VERIFIED,Charlottesville,Shots Fired,100 BRANDYWINE CT Charlottesville,-78.4874971,38.0577134
2022-00007483,CPD,CASE,2022-03-29T00:45:18Z,13A,800 ANDERSON ST,CASE,Charlottesville,Aggravated Assault,800 ANDERSON ST Charlottesville,-78.4899743,38.0348188
2022-00023154,ACPD,S5-13,2022-03-30T20:41:18Z,Shots Fired 2,ROSE HILL CHURCH LN,VERIFIED,Albemarle County,Shots Fired,ROSE HILL CHURCH LN Albemarle County,-78.4224705,37.9938539
2022-00008087,CPD,DC-2,2022-04-04T20:47:29Z,Shots Fired 2,100 JEFFERSON ST,VERIFIED,Charlottesville,Shots Fired,100 JEFFERSON ST Charlottesville,-78.4810701,38.0321144
2022-00009061,CPD,CASE,2022-04-13T20:50:49Z,13A,500 PARK ST,CASE,Charlottesville,Aggravated Assault,500 PARK ST Charlottesville,-78.4757716,38.0330367
2022-00009081,CPD,CASE,2022-04-14T00:14:58Z,13A,1100 5TH ST,CASE,Charlottesville,Aggravated Assault,1100 5TH ST Charlottesville,-78.497806,38.01713
2022-00009090,CPD,CASE,2022-04-14T04:37:55Z,13A,1600 MERIDIAN ST,CASE,Charlottesville,Aggravated Assault,1600 MERIDIAN ST Charlottesville,-78.48158459999999,38.015215
2022-00026954,ACPD,CASE,2022-04-14T17:13:50Z,09A,9100 TOTIER CREEK RD,CASE,Albemarle County,Murder,9100 TOTIER CREEK RD Albemarle County,-78.5148304,37.7866758
2022-00026982,ACPD,S6-4,2022-04-14T22:27:43Z,Shots Fired 2,100 WAHOO WAY,VERIFIED,Albemarle County,Shots Fired,100 WAHOO WAY Albemarle County,-78.5176374,38.0072748
2022-00027198,ACPD,S7-16,2022-04-15T21:54:23Z,Shots Fired 2,3600 LANGFORD DR,VERIFIED,Albemarle County,Shots Fired,3600 LANGFORD DR Albemarle County,-78.6249215,38.0387087
2022-00009417,CPD,DS-5,2022-04-16T22:42:23Z,Shots Fired 2,600 7 1/2 ST,VERIFIED,Charlottesville,Shots Fired,600 7 1/2 ST Charlottesville,-78.4937865,38.0266977
2022-00027496,ACPD,S6-4,2022-04-17T02:18:54Z,Shots Fired 1,1700 MINOR DR,VERIFIED,Albemarle County,Shots Fired,1700 MINOR DR Albemarle County,-78.5236106,37.9983757
2022-00028553,ACPD,S4-2,2022-04-20T21:00:20Z,Shots Fired 2,2000 ABBEY RD,VERIFIED,Albemarle County,Shots Fired,2000 ABBEY RD Albemarle County,-78.6114999,38.0567092
2022-00028781,ACPD,S6-4,2022-04-21T23:31:29Z,Shots Fired 1,800 HARRIS RD,VERIFIED,Albemarle County,Shots Fired,800 HARRIS RD Albemarle County,-78.4947244,38.0126318
2022-00010163,CPD,DC-2,2022-04-23T01:10:18Z,Shots Fired 2,PRESTON AVE,VERIFIED,Charlottesville,Shots Fired,PRESTON AVE Charlottesville,-78.4892925,38.03779
2022-00029083,ACPD,S6-15,2022-04-23T10:50:07Z,Shots Fired 3,3600 TAYLORS GATE DR,VERIFIED,Albemarle County,Shots Fired,3600 TAYLORS GATE DR Albemarle County,-78.626633,38.0117142
2022-00011757,UPD,UPD7,2022-04-23T23:41:11Z,Shots Fired 2,100 CULBRETH RD,VERIFIED,Charlottesville,Shots Fired,100 CULBRETH RD Charlottesville,-78.5040022,38.0401342
2022-00029212,ACPD,S1-6,2022-04-24T00:31:59Z,Shots Fired 2,2300 PEYTON DR,VERIFIED,Albemarle County,Shots Fired,2300 PEYTON DR Albemarle County,-78.4934019,38.0729196
2022-00010465,CPD,CASE,2022-04-25T08:36:19Z,13A,400 HEDGE ST,CASE,Charlottesville,Aggravated Assault,400 HEDGE ST Charlottesville,-78.4772028,38.0335942
2022-00010653,CPD,DS-2,2022-04-26T20:52:51Z,Shots Fired 2,300 4TH ST,VERIFIED,Charlottesville,Shots Fired,300 4TH ST Charlottesville,-78.47854699999999,38.0315787
2022-00030083,ACPD,S5-13,2022-04-27T19:56:04Z,Shots Fired 2,1900 THOMAS JEFFERSON PKWY,VERIFIED,Albemarle County,Shots Fired,1900 THOMAS JEFFERSON PKWY Albemarle County,-78.42171909999999,37.9792165
2022-00030677,ACPD,S2-1,2022-04-30T02:30:14Z,Shots Fired 2,400 HILLSDALE DR,VERIFIED,Albemarle County,Shots Fired,400 HILLSDALE DR Albemarle County,-78.4879073,38.0624289
2022-00011216,CPD,CASE,2022-04-30T23:35:46Z,13A,ELLIEWOOD AVE,CASE,Charlottesville,Aggravated Assault,ELLIEWOOD AVE Charlottesville,-78.5004483,38.0360929
2022-00030872,ACPD,S8-17,2022-05-01T01:32:40Z,Shots Fired 2,1600 WICKHAM WAY,VERIFIED,Albemarle County,Shots Fired,1600 WICKHAM WAY Albemarle County,-78.6694181,38.0668558
2022-00031940,ACPD,S2-1,2022-05-05T01:19:55Z,Shots Fired 2,800 OLD BROOK RD,VERIFIED,Albemarle County,Shots Fired,800 OLD BROOK RD Albemarle County,-78.4712795,38.0753958
2022-00011991,CPD,DN-1,2022-05-06T22:53:34Z,Shots Fired 2,900 PAGE ST,VERIFIED,Charlottesville,Shots Fired,900 PAGE ST Charlottesville,-78.4920041,38.0347348
2022-00012011,CPD,DC-3,2022-05-07T00:06:27Z,Shots Fired 2,800 HARDY DR,VERIFIED,Charlottesville,Shots Fired,800 HARDY DR Charlottesville,-78.49039789999999,38.0332385
2022-00032469,ACPD,S4-10,2022-05-07T13:29:14Z,Shots Fired 2,100 VINCENNES RD,VERIFIED,Albemarle County,Shots Fired,100 VINCENNES RD Albemarle County,-78.4341383,38.0624186
2022-00032640,ACPD,S3-20,2022-05-08T12:11:53Z,Shots Fired 2,600 TANNERS LN,VERIFIED,Albemarle County,Shots Fired,600 TANNERS LN Albemarle County,-78.47993369999999,38.1040552
2022-00033208,ACPD,S4-11,2022-05-10T19:35:22Z,Shots Fired 2,600 MAXFIELD RD,VERIFIED,Albemarle County,Shots Fired,600 MAXFIELD RD Albemarle County,-78.3051868,38.0518893
2022-00012655,CPD,CASE,2022-05-13T01:11:49Z,13A,1000 ALTAVISTA AVE,CASE,Charlottesville,Aggravated Assault,1000 ALTAVISTA AVE Charlottesville,-78.47713089999999,38.0181024
2022-00012747,CPD,DN-11,2022-05-13T19:08:34Z,Shots Fired 2,RIVERBLUFF CIR,VERIFIED,Charlottesville,Shots Fired,RIVERBLUFF CIR Charlottesville,-78.4565716,38.0276995
2022-00034090,ACPD,S4-2,2022-05-13T19:22:24Z,Shots Fired 2,300 RIVERBEND DR,VERIFIED,Albemarle County,Shots Fired,300 RIVERBEND DR Albemarle County,-78.4600085,38.0293135
2022-00034592,ACPD,S5-3,2022-05-16T11:11:37Z,Shots Fired 2,1400 INDEPENDENCE WAY,VERIFIED,Albemarle County,Shots Fired,1400 INDEPENDENCE WAY Albemarle County,-78.4916221,38.0001536
2022-00035269,ACPD,S4-10,2022-05-18T22:24:46Z,Shots Fired 2,3200 SCARLET OAK LN,VERIFIED,Albemarle County,Shots Fired,3200 SCARLET OAK LN Albemarle County,-78.3881311,38.0904041
2022-00013523,CPD,CASE,2022-05-20T01:34:04Z,13A,2200 WAYNE AVE,CASE,Charlottesville,Aggravated Assault,2200 WAYNE AVE Charlottesville,-78.4967252,38.0601877
2022-00035771,ACPD,CASE,2022-05-21T01:53:52Z,13A,2343 THOMAS JEFFERSON,CASE,Albemarle County,Aggravated Assault,2343 THOMAS JEFFERSON Albemarle County,-78.6114999,38.0567092
2022-00036557,ACPD,CASE,2022-05-24T19:29:17Z,13A,100 WAHOO WAY,CASE,Albemarle County,Aggravated Assault,100 WAHOO WAY Albemarle County,-78.5176374,38.0072748
2022-00037206,ACPD,S4-2,2022-05-27T14:22:05Z,Shots Fired 2,1400 RICHMOND RD,VERIFIED,Albemarle County,Shots Fired,1400 RICHMOND RD Albemarle County,-78.6114999,38.0567092
2022-00037271,ACPD,S8-17,2022-05-27T20:54:16Z,Shots Fired 2,1200 HADEN PL,VERIFIED,Albemarle County,Shots Fired,1200 HADEN PL Albemarle County,-78.70780289999999,38.0659871
2022-00037281,ACPD,S7-16,2022-05-27T21:46:22Z,Shots Fired 2,400 BOX HOLLY LN,VERIFIED,Albemarle County,Shots Fired,400 BOX HOLLY LN Albemarle County,-78.672941,38.0246189
2022-00037830,ACPD,S6-15,2022-05-30T11:15:51Z,Shots Fired 3,TAYLORS MTN FARM LN,VERIFIED,Albemarle County,Shots Fired,TAYLORS MTN FARM LN Albemarle County,-78.6341562,38.0200571
2022-00014757,CPD,CASE,2022-05-31T00:13:20Z,13A,400 10TH ST,CASE,Charlottesville,Aggravated Assault,400 10TH ST Charlottesville,-78.47152969999999,38.0310763
2022-00038310,ACPD,S6-15,2022-06-01T09:36:16Z,Shots Fired 2,3900 RED HILL SCHOOL RD,VERIFIED,Albemarle County,Shots Fired,3900 RED HILL SCHOOL RD Albemarle County,-78.6371532,37.9654157
2022-00014957,CPD,CASE,2022-06-01T20:23:04Z,13A,900 HENRY AVE,CASE,Charlottesville,Aggravated Assault,900 HENRY AVE Charlottesville,-78.48680089999999,38.03894140000001
2022-00015198,CPD,CASE,2022-06-03T21:49:39Z,13A,800 ORANGEDALE AVE,CASE,Charlottesville,Aggravated Assault,800 ORANGEDALE AVE Charlottesville,-78.4975054,38.0215283
2022-00015236,CPD,DC-3,2022-06-04T02:38:17Z,Shots Fired 2,HARDY DR,VERIFIED,Charlottesville,Shots Fired,HARDY DR Charlottesville,-78.4915826,38.0335602
2022-00039069,ACPD,S3-20,2022-06-04T20:11:26Z,Shots Fired 1,1100 BUCK MTN FORD LN,VERIFIED,Albemarle County,Shots Fired,1100 BUCK MTN FORD LN Albemarle County,-78.5386513,38.1968835
2022-00041884,ACPD,S1-6,2022-06-17T00:49:58Z,Shots Fired 2,2100 COMMONWEALTH DR,VERIFIED,Albemarle County,Shots Fired,2100 COMMONWEALTH DR Albemarle County,-78.4925291,38.0699504
2022-00016680,CPD,DN-3,2022-06-17T21:34:37Z,Shots Fired 2,CHARLTON AVE,VERIFIED,Charlottesville,Shots Fired,CHARLTON AVE Charlottesville,-78.4877388,38.0386203
2022-00016889,CPD,CASE,2022-06-19T21:05:50Z,13A,400 11TH ST,CASE,Charlottesville,Aggravated Assault,400 11TH ST Charlottesville,-78.4940467,38.03764160000001
2022-00016906,CPD,DN-18,2022-06-19T23:05:01Z,Shots Fired 2,2100 MICHIE DR,VERIFIED,Charlottesville,Shots Fired,2100 MICHIE DR Charlottesville,-78.483828,38.062986
2022-00017245,CPD,CASE,2022-06-22T20:24:21Z,13A,1600 MERIDIAN ST,CASE,Charlottesville,Aggravated Assault,1600 MERIDIAN ST Charlottesville,-78.48158459999999,38.015215
2022-00017474,CPD,CASE,2022-06-24T22:54:55Z,13A,2000 MICHIE DR,CASE,Charlottesville,Aggravated Assault,2000 MICHIE DR Charlottesville,-78.4882126,38.0586361
2022-00045039,ACPD,CASE,2022-07-01T20:09:37Z,13A,400 FOUR SEASONS DR,CASE,Albemarle County,Aggravated Assault,400 FOUR SEASONS DR Albemarle County,-78.4879344,38.0810511
2022-00018526,CPD,DS-3,2022-07-03T14:38:51Z,Shots Fired 1,200 DICE ST,VERIFIED,Charlottesville,Shots Fired,200 DICE ST Charlottesville,-78.485987,38.0278136
2022-00047076,ACPD,S2-1,2022-07-09T21:38:15Z,Shots Fired 2,700 CASTLE CT,VERIFIED,Albemarle County,Shots Fired,700 CASTLE CT Albemarle County,-78.4727479,38.074681
2022-00047154,ACPD,S1-6,2022-07-10T03:06:12Z,Shots Fired 2,800 RUNNEL CT,VERIFIED,Albemarle County,Shots Fired,800 RUNNEL CT Albemarle County,-78.511344,38.063551
