school_year,division,school,subgroup,n_students,percent,school_level,school_short
2021-2022,ACPS,Lakeside Middle,Economically Disadvantaged,35,30.2,Middle,Lakeside
2021-2022,ACPS,Lakeside Middle,English Learners,10,21.7,Middle,Lakeside
2021-2022,ACPS,Lakeside Middle,Homeless,0,0,Middle,Lakeside
2021-2022,ACPS,Lakeside Middle,Military Connected,6,18.8,Middle,Lakeside
2021-2022,ACPS,Leslie H. Walton Middle,All Students,74,22.9,Middle,Walton
2021-2022,ACPS,Leslie H. Walton Middle,Asian,0,0,Middle,Walton
2021-2022,ACPS,Leslie H. Walton Middle,Black,2,7.1,Middle,Walton
2021-2022,ACPS,Leslie H. Walton Middle,Hispanic,6,20.7,Middle,Walton
2021-2022,ACPS,Leslie H. Walton Middle,White,59,24.4,Middle,Walton
2021-2022,ACPS,Leslie H. Walton Middle,Multiple Races,7,36.8,Middle,Walton
2021-2022,ACPS,Leslie H. Walton Middle,Students with Disabilities,20,37,Middle,Walton
2021-2022,ACPS,Leslie H. Walton Middle,Economically Disadvantaged,53,46.5,Middle,Walton
2021-2022,ACPS,Leslie H. Walton Middle,English Learners,4,25,Middle,Walton
2021-2022,ACPS,Leslie H. Walton Middle,Homeless,0,0,Middle,Walton
2021-2022,ACPS,Leslie H. Walton Middle,Military Connected,0,0,Middle,Walton
2021-2022,ACPS,Leslie H. Walton Middle,Foster Care,0,0,Middle,Walton
2021-2022,ACPS,Mary Carr Greer Elementary,All Students,129,28,Elementary,Greer
2021-2022,ACPS,Mary Carr Greer Elementary,American Indian,0,0,Elementary,Greer
2021-2022,ACPS,Mary Carr Greer Elementary,Asian,3,9.7,Elementary,Greer
2021-2022,ACPS,Mary Carr Greer Elementary,Black,30,25.9,Elementary,Greer
2021-2022,ACPS,Mary Carr Greer Elementary,Hispanic,59,38.1,Elementary,Greer
2021-2022,ACPS,Mary Carr Greer Elementary,White,21,18.6,Elementary,Greer
2021-2022,ACPS,Mary Carr Greer Elementary,Multiple Races,16,35.6,Elementary,Greer
2021-2022,ACPS,Mary Carr Greer Elementary,Students with Disabilities,18,28.1,Elementary,Greer
2021-2022,ACPS,Mary Carr Greer Elementary,Economically Disadvantaged,88,33.7,Elementary,Greer
2021-2022,ACPS,Mary Carr Greer Elementary,English Learners,63,36.2,Elementary,Greer
2021-2022,ACPS,Mary Carr Greer Elementary,Homeless,0,0,Elementary,Greer
2021-2022,ACPS,Mary Carr Greer Elementary,Military Connected,0,0,Elementary,Greer
2021-2022,ACPS,Mary Carr Greer Elementary,Foster Care,0,0,Elementary,Greer
2021-2022,ACPS,Meriwether Lewis Elementary,All Students,17,5.3,Elementary,Meriwether Lewis
2021-2022,ACPS,Meriwether Lewis Elementary,Asian,0,0,Elementary,Meriwether Lewis
2021-2022,ACPS,Meriwether Lewis Elementary,Hispanic,0,0,Elementary,Meriwether Lewis
2021-2022,ACPS,Meriwether Lewis Elementary,White,14,5,Elementary,Meriwether Lewis
2021-2022,ACPS,Meriwether Lewis Elementary,Multiple Races,2,18.2,Elementary,Meriwether Lewis
2021-2022,ACPS,Meriwether Lewis Elementary,Students with Disabilities,5,13.2,Elementary,Meriwether Lewis
2021-2022,ACPS,Meriwether Lewis Elementary,Economically Disadvantaged,6,24,Elementary,Meriwether Lewis
2021-2022,ACPS,Meriwether Lewis Elementary,English Learners,0,0,Elementary,Meriwether Lewis
2021-2022,ACPS,Meriwether Lewis Elementary,Military Connected,0,0,Elementary,Meriwether Lewis
2021-2022,ACPS,Meriwether Lewis Elementary,Foster Care,0,0,Elementary,Meriwether Lewis
2021-2022,ACPS,Monticello High,All Students,267,22.3,High,MHS
2021-2022,ACPS,Monticello High,American Indian,0,0,High,MHS
2021-2022,ACPS,Monticello High,Asian,4,11.8,High,MHS
2021-2022,ACPS,Monticello High,Black,36,25.9,High,MHS
2021-2022,ACPS,Monticello High,Hispanic,53,26.4,High,MHS
2021-2022,ACPS,Monticello High,Native Hawaiian,0,0,High,MHS
2021-2022,ACPS,Monticello High,White,153,20.8,High,MHS
2021-2022,ACPS,Monticello High,Multiple Races,21,25.3,High,MHS
2021-2022,ACPS,Monticello High,Students with Disabilities,48,28.9,High,MHS
2021-2022,ACPS,Monticello High,Economically Disadvantaged,136,35.1,High,MHS
2021-2022,ACPS,Monticello High,English Learners,26,36.1,High,MHS
2021-2022,ACPS,Monticello High,Homeless,0,0,High,MHS
2021-2022,ACPS,Monticello High,Military Connected,3,18.8,High,MHS
2021-2022,ACPS,Monticello High,Foster Care,0,0,High,MHS
2021-2022,ACPS,Mountain View Elementary,All Students,135,19.7,Elementary,Mountain View
2021-2022,ACPS,Mountain View Elementary,American Indian,0,0,Elementary,Mountain View
2021-2022,ACPS,Mountain View Elementary,Asian,5,20.8,Elementary,Mountain View
2021-2022,ACPS,Mountain View Elementary,Black,34,34,Elementary,Mountain View
2021-2022,ACPS,Mountain View Elementary,Hispanic,54,28,Elementary,Mountain View
2021-2022,ACPS,Mountain View Elementary,Native Hawaiian,0,0,Elementary,Mountain View
2021-2022,ACPS,Mountain View Elementary,White,33,10.6,Elementary,Mountain View
2021-2022,ACPS,Mountain View Elementary,Multiple Races,7,12.7,Elementary,Mountain View
2021-2022,ACPS,Mountain View Elementary,Students with Disabilities,23,25.8,Elementary,Mountain View
2021-2022,ACPS,Mountain View Elementary,Economically Disadvantaged,86,31.6,Elementary,Mountain View
2021-2022,ACPS,Mountain View Elementary,English Learners,42,30.9,Elementary,Mountain View
2021-2022,ACPS,Mountain View Elementary,Homeless,3,30,Elementary,Mountain View
2021-2022,ACPS,Mountain View Elementary,Military Connected,0,0,Elementary,Mountain View
2021-2022,ACPS,Red Hill Elementary,All Students,49,28.7,Elementary,Red Hill
2021-2022,ACPS,Red Hill Elementary,Asian,0,0,Elementary,Red Hill
2021-2022,ACPS,Red Hill Elementary,Black,0,0,Elementary,Red Hill
2021-2022,ACPS,Red Hill Elementary,Hispanic,12,42.9,Elementary,Red Hill
2021-2022,ACPS,Red Hill Elementary,White,31,25.8,Elementary,Red Hill
2021-2022,ACPS,Red Hill Elementary,Multiple Races,3,23.1,Elementary,Red Hill
2021-2022,ACPS,Red Hill Elementary,Students with Disabilities,11,32.4,Elementary,Red Hill
2021-2022,ACPS,Red Hill Elementary,Economically Disadvantaged,32,38.1,Elementary,Red Hill
2021-2022,ACPS,Red Hill Elementary,English Learners,2,18.2,Elementary,Red Hill
2021-2022,ACPS,Red Hill Elementary,Military Connected,0,0,Elementary,Red Hill
2021-2022,ACPS,Scottsville Elementary,All Students,29,14.4,Elementary,Scottsville
2021-2022,ACPS,Scottsville Elementary,Black,8,28.6,Elementary,Scottsville
2021-2022,ACPS,Scottsville Elementary,Hispanic,1,5.9,Elementary,Scottsville
2021-2022,ACPS,Scottsville Elementary,White,19,13.3,Elementary,Scottsville
2021-2022,ACPS,Scottsville Elementary,Multiple Races,1,7.7,Elementary,Scottsville
2021-2022,ACPS,Scottsville Elementary,Students with Disabilities,4,13.8,Elementary,Scottsville
2021-2022,ACPS,Scottsville Elementary,Economically Disadvantaged,22,23.9,Elementary,Scottsville
2021-2022,ACPS,Scottsville Elementary,English Learners,0,0,Elementary,Scottsville
2021-2022,ACPS,Scottsville Elementary,Homeless,0,0,Elementary,Scottsville
2021-2022,ACPS,Scottsville Elementary,Military Connected,0,0,Elementary,Scottsville
2021-2022,ACPS,Stone Robinson Elementary,All Students,63,14.3,Elementary,Stone Robinson
2021-2022,ACPS,Stone Robinson Elementary,Asian,1,4.8,Elementary,Stone Robinson
2021-2022,ACPS,Stone Robinson Elementary,Black,3,6.7,Elementary,Stone Robinson
2021-2022,ACPS,Stone Robinson Elementary,Hispanic,13,26,Elementary,Stone Robinson
2021-2022,ACPS,Stone Robinson Elementary,White,39,14.3,Elementary,Stone Robinson
2021-2022,ACPS,Stone Robinson Elementary,Multiple Races,7,13.7,Elementary,Stone Robinson
2021-2022,ACPS,Stone Robinson Elementary,Students with Disabilities,15,25,Elementary,Stone Robinson
2021-2022,ACPS,Stone Robinson Elementary,Economically Disadvantaged,38,31.7,Elementary,Stone Robinson
2021-2022,ACPS,Stone Robinson Elementary,English Learners,6,20.7,Elementary,Stone Robinson
2021-2022,ACPS,Stone Robinson Elementary,Military Connected,0,0,Elementary,Stone Robinson
2021-2022,ACPS,Stone Robinson Elementary,Foster Care,0,0,Elementary,Stone Robinson
2021-2022,ACPS,Stony Point Elementary,All Students,27,14.6,Elementary,Stony Point
2021-2022,ACPS,Stony Point Elementary,Asian,0,0,Elementary,Stony Point
2021-2022,ACPS,Stony Point Elementary,Black,12,37.5,Elementary,Stony Point
2021-2022,ACPS,Stony Point Elementary,Hispanic,3,18.8,Elementary,Stony Point
2021-2022,ACPS,Stony Point Elementary,White,11,9.7,Elementary,Stony Point
2021-2022,ACPS,Stony Point Elementary,Multiple Races,1,5.9,Elementary,Stony Point
2021-2022,ACPS,Stony Point Elementary,Students with Disabilities,3,21.4,Elementary,Stony Point
2021-2022,ACPS,Stony Point Elementary,Economically Disadvantaged,14,23.3,Elementary,Stony Point
2021-2022,ACPS,Stony Point Elementary,English Learners,0,0,Elementary,Stony Point
2021-2022,ACPS,Stony Point Elementary,Homeless,0,0,Elementary,Stony Point
2021-2022,ACPS,Stony Point Elementary,Military Connected,0,0,Elementary,Stony Point
2021-2022,ACPS,Virginia L. Murray Elementary,All Students,16,6.2,Elementary,Va Murray
2021-2022,ACPS,Virginia L. Murray Elementary,American Indian,0,0,Elementary,Va Murray
2021-2022,ACPS,Virginia L. Murray Elementary,Asian,0,0,Elementary,Va Murray
2021-2022,ACPS,Virginia L. Murray Elementary,Black,2,16.7,Elementary,Va Murray
2021-2022,ACPS,Virginia L. Murray Elementary,Hispanic,1,7.7,Elementary,Va Murray
2021-2022,ACPS,Virginia L. Murray Elementary,Native Hawaiian,0,0,Elementary,Va Murray
2021-2022,ACPS,Virginia L. Murray Elementary,White,11,6,Elementary,Va Murray
2021-2022,ACPS,Virginia L. Murray Elementary,Multiple Races,2,8.7,Elementary,Va Murray
2021-2022,ACPS,Virginia L. Murray Elementary,Students with Disabilities,3,13,Elementary,Va Murray
2021-2022,ACPS,Virginia L. Murray Elementary,Economically Disadvantaged,7,29.2,Elementary,Va Murray
2021-2022,ACPS,Virginia L. Murray Elementary,English Learners,1,10,Elementary,Va Murray
2021-2022,ACPS,Virginia L. Murray Elementary,Military Connected,0,0,Elementary,Va Murray
2021-2022,ACPS,Virginia L. Murray Elementary,Foster Care,0,0,Elementary,Va Murray
2021-2022,ACPS,Western Albemarle High,All Students,145,12.7,High,WAHS
2021-2022,ACPS,Western Albemarle High,American Indian,0,0,High,WAHS
2021-2022,ACPS,Western Albemarle High,Asian,2,5,High,WAHS
2021-2022,ACPS,Western Albemarle High,Black,4,25,High,WAHS
2021-2022,ACPS,Western Albemarle High,Hispanic,14,20.9,High,WAHS
2021-2022,ACPS,Western Albemarle High,Native Hawaiian,0,0,High,WAHS
2021-2022,ACPS,Western Albemarle High,White,117,12,High,WAHS
2021-2022,ACPS,Western Albemarle High,Multiple Races,8,21.1,High,WAHS
2021-2022,ACPS,Western Albemarle High,Students with Disabilities,35,26.1,High,WAHS
2021-2022,ACPS,Western Albemarle High,Economically Disadvantaged,50,36.2,High,WAHS
2021-2022,ACPS,Western Albemarle High,English Learners,0,0,High,WAHS
2021-2022,ACPS,Western Albemarle High,Homeless,0,0,High,WAHS
2021-2022,ACPS,Western Albemarle High,Military Connected,5,15.6,High,WAHS
2021-2022,ACPS,Western Albemarle High,Foster Care,0,0,High,WAHS
2021-2022,ACPS,Woodbrook Elementary,All Students,176,33,Elementary,Woodbrook
2021-2022,ACPS,Woodbrook Elementary,Asian,7,15.2,Elementary,Woodbrook
2021-2022,ACPS,Woodbrook Elementary,Black,72,38.9,Elementary,Woodbrook
2021-2022,ACPS,Woodbrook Elementary,Hispanic,54,42.2,Elementary,Woodbrook
2021-2022,ACPS,Woodbrook Elementary,White,29,21,Elementary,Woodbrook
2021-2022,ACPS,Woodbrook Elementary,Multiple Races,14,38.9,Elementary,Woodbrook
2021-2022,ACPS,Woodbrook Elementary,Students with Disabilities,21,35,Elementary,Woodbrook
2021-2022,ACPS,Woodbrook Elementary,Economically Disadvantaged,134,43.2,Elementary,Woodbrook
2021-2022,ACPS,Woodbrook Elementary,English Learners,57,41.9,Elementary,Woodbrook
2021-2022,ACPS,Woodbrook Elementary,Homeless,9,75,Elementary,Woodbrook
2021-2022,ACPS,Woodbrook Elementary,Military Connected,2,16.7,Elementary,Woodbrook
2021-2022,ACPS,Woodbrook Elementary,Foster Care,0,0,Elementary,Woodbrook
2021-2022,CCS,Buford Middle,All Students,143,24.2,Middle,Buford
2021-2022,CCS,Buford Middle,Asian,1,3.3,Middle,Buford
2021-2022,CCS,Buford Middle,Black,71,32.7,Middle,Buford
2021-2022,CCS,Buford Middle,Hispanic,25,28.1,Middle,Buford
2021-2022,CCS,Buford Middle,White,27,13.8,Middle,Buford
2021-2022,CCS,Buford Middle,Multiple Races,19,31.1,Middle,Buford
2021-2022,CCS,Buford Middle,Students with Disabilities,26,26.3,Middle,Buford
2021-2022,CCS,Buford Middle,Economically Disadvantaged,142,24,Middle,Buford
2021-2022,CCS,Buford Middle,English Learners,24,20.3,Middle,Buford
2021-2022,CCS,Buford Middle,Homeless,0,0,Middle,Buford
2021-2022,CCS,Buford Middle,Military Connected,0,0,Middle,Buford
2021-2022,CCS,Buford Middle,Foster Care,0,0,Middle,Buford
2021-2022,CCS,Burnley-Moran Elementary,All Students,19,6.2,Elementary,Burnley-Moran
2021-2022,CCS,Burnley-Moran Elementary,Asian,0,0,Elementary,Burnley-Moran
2021-2022,CCS,Burnley-Moran Elementary,Black,8,14.8,Elementary,Burnley-Moran
2021-2022,CCS,Burnley-Moran Elementary,Hispanic,2,6.9,Elementary,Burnley-Moran
2021-2022,CCS,Burnley-Moran Elementary,White,6,3.4,Elementary,Burnley-Moran
2021-2022,CCS,Burnley-Moran Elementary,Multiple Races,3,7.7,Elementary,Burnley-Moran
2021-2022,CCS,Burnley-Moran Elementary,Students with Disabilities,3,9.7,Elementary,Burnley-Moran
2021-2022,CCS,Burnley-Moran Elementary,Economically Disadvantaged,13,11,Elementary,Burnley-Moran
2021-2022,CCS,Burnley-Moran Elementary,English Learners,0,0,Elementary,Burnley-Moran
2021-2022,CCS,Burnley-Moran Elementary,Military Connected,0,0,Elementary,Burnley-Moran
2021-2022,CCS,Charlottesville High,All Students,315,25.5,High,CHS
2021-2022,CCS,Charlottesville High,American Indian,0,0,High,CHS
2021-2022,CCS,Charlottesville High,Asian,9,15.8,High,CHS
2021-2022,CCS,Charlottesville High,Black,126,36.7,High,CHS
2021-2022,CCS,Charlottesville High,Hispanic,63,35.8,High,CHS
2021-2022,CCS,Charlottesville High,White,78,14.2,High,CHS
2021-2022,CCS,Charlottesville High,Multiple Races,39,35.5,High,CHS
2021-2022,CCS,Charlottesville High,Students with Disabilities,56,29.9,High,CHS
2021-2022,CCS,Charlottesville High,Economically Disadvantaged,239,39.4,High,CHS
2021-2022,CCS,Charlottesville High,English Learners,53,34.9,High,CHS
2021-2022,CCS,Charlottesville High,Homeless,0,0,High,CHS
2021-2022,CCS,Charlottesville High,Military Connected,0,0,High,CHS
2021-2022,CCS,Charlottesville High,Foster Care,3,27.3,High,CHS
2021-2022,CCS,Clark Elementary,All Students,69,26.3,Elementary,Clark
2021-2022,CCS,Clark Elementary,Asian,1,4.8,Elementary,Clark
2021-2022,CCS,Clark Elementary,Black,32,38.6,Elementary,Clark
2021-2022,CCS,Clark Elementary,Hispanic,8,20.5,Elementary,Clark
2021-2022,CCS,Clark Elementary,White,12,16.4,Elementary,Clark
2021-2022,CCS,Clark Elementary,Multiple Races,16,34.8,Elementary,Clark
2021-2022,CCS,Clark Elementary,Students with Disabilities,14,40,Elementary,Clark
2021-2022,CCS,Clark Elementary,Economically Disadvantaged,69,26.4,Elementary,Clark
2021-2022,CCS,Clark Elementary,English Learners,12,17.9,Elementary,Clark
2021-2022,CCS,Clark Elementary,Homeless,0,0,Elementary,Clark
2021-2022,CCS,Clark Elementary,Foster Care,0,0,Elementary,Clark
2021-2022,CCS,Greenbrier Elementary,All Students,13,4.9,Elementary,Greenbrier
2021-2022,CCS,Greenbrier Elementary,American Indian,0,0,Elementary,Greenbrier
2021-2022,CCS,Greenbrier Elementary,Asian,1,4.8,Elementary,Greenbrier
2021-2022,CCS,Greenbrier Elementary,Black,6,14.6,Elementary,Greenbrier
2021-2022,CCS,Greenbrier Elementary,Hispanic,4,11.1,Elementary,Greenbrier
2021-2022,CCS,Greenbrier Elementary,White,2,1.5,Elementary,Greenbrier
2021-2022,CCS,Greenbrier Elementary,Multiple Races,0,0,Elementary,Greenbrier
2021-2022,CCS,Greenbrier Elementary,Students with Disabilities,3,10,Elementary,Greenbrier
2021-2022,CCS,Greenbrier Elementary,Economically Disadvantaged,10,9.6,Elementary,Greenbrier
2021-2022,CCS,Greenbrier Elementary,English Learners,3,5.2,Elementary,Greenbrier
2021-2022,CCS,Greenbrier Elementary,Military Connected,0,0,Elementary,Greenbrier
2021-2022,CCS,Jackson-Via Elementary,All Students,51,17.9,Elementary,Jackson-Via
2021-2022,CCS,Jackson-Via Elementary,Asian,1,6.7,Elementary,Jackson-Via
2021-2022,CCS,Jackson-Via Elementary,Black,27,29.7,Elementary,Jackson-Via
2021-2022,CCS,Jackson-Via Elementary,Hispanic,4,14.3,Elementary,Jackson-Via
2021-2022,CCS,Jackson-Via Elementary,White,12,11,Elementary,Jackson-Via
2021-2022,CCS,Jackson-Via Elementary,Multiple Races,7,16.7,Elementary,Jackson-Via
2021-2022,CCS,Jackson-Via Elementary,Students with Disabilities,21,32.3,Elementary,Jackson-Via
2021-2022,CCS,Jackson-Via Elementary,Economically Disadvantaged,51,18,Elementary,Jackson-Via
2021-2022,CCS,Jackson-Via Elementary,English Learners,5,12.2,Elementary,Jackson-Via
2021-2022,CCS,Jackson-Via Elementary,Homeless,0,0,Elementary,Jackson-Via
2021-2022,CCS,Jackson-Via Elementary,Military Connected,0,0,Elementary,Jackson-Via
2021-2022,CCS,Johnson Elementary,All Students,29,11.5,Elementary,Johnson
2021-2022,CCS,Johnson Elementary,Asian,0,0,Elementary,Johnson
2021-2022,CCS,Johnson Elementary,Black,19,23.2,Elementary,Johnson
2021-2022,CCS,Johnson Elementary,Hispanic,0,0,Elementary,Johnson
2021-2022,CCS,Johnson Elementary,White,5,4.7,Elementary,Johnson
2021-2022,CCS,Johnson Elementary,Multiple Races,5,14.3,Elementary,Johnson
2021-2022,CCS,Johnson Elementary,Students with Disabilities,3,10,Elementary,Johnson
2021-2022,CCS,Johnson Elementary,Economically Disadvantaged,29,11.6,Elementary,Johnson
2021-2022,CCS,Johnson Elementary,English Learners,0,0,Elementary,Johnson
2021-2022,CCS,Johnson Elementary,Military Connected,0,0,Elementary,Johnson
2021-2022,CCS,Venable Elementary,All Students,14,5.4,Elementary,Venable
2021-2022,CCS,Venable Elementary,Asian,0,0,Elementary,Venable
2021-2022,CCS,Venable Elementary,Black,8,11.8,Elementary,Venable
2021-2022,CCS,Venable Elementary,Hispanic,3,25,Elementary,Venable
2021-2022,CCS,Venable Elementary,White,1,0.7,Elementary,Venable
2021-2022,CCS,Venable Elementary,Multiple Races,2,8,Elementary,Venable
2021-2022,CCS,Venable Elementary,Students with Disabilities,2,9.1,Elementary,Venable
2021-2022,CCS,Venable Elementary,Economically Disadvantaged,12,14.1,Elementary,Venable
2021-2022,CCS,Venable Elementary,English Learners,2,9.1,Elementary,Venable
2021-2022,CCS,Venable Elementary,Homeless,0,0,Elementary,Venable
2021-2022,CCS,Venable Elementary,Military Connected,0,0,Elementary,Venable
2021-2022,CCS,Venable Elementary,Foster Care,0,0,Elementary,Venable
2021-2022,CCS,Walker Upper Elementary,All Students,114,18.3,Middle,Walker
2021-2022,CCS,Walker Upper Elementary,Asian,2,4.5,Middle,Walker
2021-2022,CCS,Walker Upper Elementary,Black,50,28.9,Middle,Walker
2021-2022,CCS,Walker Upper Elementary,Hispanic,18,19.4,Middle,Walker
2021-2022,CCS,Walker Upper Elementary,White,22,9,Middle,Walker
2021-2022,CCS,Walker Upper Elementary,Multiple Races,22,32.4,Middle,Walker
2021-2022,CCS,Walker Upper Elementary,Students with Disabilities,26,29.2,Middle,Walker
2021-2022,CCS,Walker Upper Elementary,Economically Disadvantaged,113,18.2,Middle,Walker
2021-2022,CCS,Walker Upper Elementary,English Learners,26,18.4,Middle,Walker
2021-2022,CCS,Walker Upper Elementary,Homeless,0,0,Middle,Walker
2021-2022,CCS,Walker Upper Elementary,Military Connected,0,0,Middle,Walker
2021-2022,CCS,Walker Upper Elementary,Foster Care,0,0,Middle,Walker
2022-2023,ACPS,Agnor-Hurt Elementary,All Students,88,21.7,Elementary,Agnor-Hurt
2022-2023,ACPS,Agnor-Hurt Elementary,Asian,8,27.6,Elementary,Agnor-Hurt
2022-2023,ACPS,Agnor-Hurt Elementary,Black,18,21.4,Elementary,Agnor-Hurt
2022-2023,ACPS,Agnor-Hurt Elementary,Hispanic,29,25,Elementary,Agnor-Hurt
2022-2023,ACPS,Agnor-Hurt Elementary,White,26,18.3,Elementary,Agnor-Hurt
2022-2023,ACPS,Agnor-Hurt Elementary,Multiple Races,7,20.6,Elementary,Agnor-Hurt
2022-2023,ACPS,Agnor-Hurt Elementary,Students with Disabilities,16,34.8,Elementary,Agnor-Hurt
2022-2023,ACPS,Agnor-Hurt Elementary,Economically Disadvantaged,47,24,Elementary,Agnor-Hurt
2022-2023,ACPS,Agnor-Hurt Elementary,English Learners,27,23.3,Elementary,Agnor-Hurt
2022-2023,ACPS,Agnor-Hurt Elementary,Homeless,0,0,Elementary,Agnor-Hurt
2022-2023,ACPS,Agnor-Hurt Elementary,Military Connected,1,10,Elementary,Agnor-Hurt
2022-2023,ACPS,Agnor-Hurt Elementary,Foster Care,0,0,Elementary,Agnor-Hurt
2022-2023,ACPS,Albemarle High,All Students,373,19,High,AHS
2022-2023,ACPS,Albemarle High,American Indian,0,0,High,AHS
2022-2023,ACPS,Albemarle High,Asian,9,5.8,High,AHS
2022-2023,ACPS,Albemarle High,Black,88,27.7,High,AHS
2022-2023,ACPS,Albemarle High,Hispanic,120,31.4,High,AHS
2022-2023,ACPS,Albemarle High,White,125,12.9,High,AHS
2022-2023,ACPS,Albemarle High,Multiple Races,31,23.1,High,AHS
2022-2023,ACPS,Albemarle High,Students with Disabilities,39,19.5,High,AHS
2022-2023,ACPS,Albemarle High,Economically Disadvantaged,220,31.5,High,AHS
2022-2023,ACPS,Albemarle High,English Learners,95,34.5,High,AHS
2022-2023,ACPS,Albemarle High,Homeless,13,65,High,AHS
2022-2023,ACPS,Albemarle High,Military Connected,6,10.9,High,AHS
2022-2023,ACPS,Albemarle High,Foster Care,8,40,High,AHS
2022-2023,ACPS,Baker-Butler Elem,All Students,125,16.8,Elementary,Baker-Butler
2022-2023,ACPS,Baker-Butler Elem,American Indian,0,0,Elementary,Baker-Butler
2022-2023,ACPS,Baker-Butler Elem,Asian,12,15,Elementary,Baker-Butler
2022-2023,ACPS,Baker-Butler Elem,Black,15,19.7,Elementary,Baker-Butler
2022-2023,ACPS,Baker-Butler Elem,Hispanic,26,22,Elementary,Baker-Butler
2022-2023,ACPS,Baker-Butler Elem,Native Hawaiian,0,0,Elementary,Baker-Butler
2022-2023,ACPS,Baker-Butler Elem,White,55,14.6,Elementary,Baker-Butler
2022-2023,ACPS,Baker-Butler Elem,Multiple Races,17,19.5,Elementary,Baker-Butler
2022-2023,ACPS,Baker-Butler Elem,Students with Disabilities,23,25.8,Elementary,Baker-Butler
2022-2023,ACPS,Baker-Butler Elem,Economically Disadvantaged,64,27.9,Elementary,Baker-Butler
2022-2023,ACPS,Baker-Butler Elem,English Learners,20,17.4,Elementary,Baker-Butler
2022-2023,ACPS,Baker-Butler Elem,Homeless,0,0,Elementary,Baker-Butler
2022-2023,ACPS,Baker-Butler Elem,Military Connected,6,8.5,Elementary,Baker-Butler
2022-2023,ACPS,Baker-Butler Elem,Foster Care,0,0,Elementary,Baker-Butler
2022-2023,ACPS,Broadus Wood Elementary,All Students,47,17.7,Elementary,Broadus Wood
2022-2023,ACPS,Broadus Wood Elementary,Asian,0,0,Elementary,Broadus Wood
2022-2023,ACPS,Broadus Wood Elementary,Black,0,0,Elementary,Broadus Wood
2022-2023,ACPS,Broadus Wood Elementary,Hispanic,12,52.2,Elementary,Broadus Wood
2022-2023,ACPS,Broadus Wood Elementary,White,31,14,Elementary,Broadus Wood
2022-2023,ACPS,Broadus Wood Elementary,Multiple Races,1,6.7,Elementary,Broadus Wood
2022-2023,ACPS,Broadus Wood Elementary,Students with Disabilities,9,30,Elementary,Broadus Wood
2022-2023,ACPS,Broadus Wood Elementary,Economically Disadvantaged,16,32,Elementary,Broadus Wood
2022-2023,ACPS,Broadus Wood Elementary,English Learners,6,50,Elementary,Broadus Wood
2022-2023,ACPS,Broadus Wood Elementary,Military Connected,2,13.3,Elementary,Broadus Wood
2022-2023,ACPS,Broadus Wood Elementary,Foster Care,0,0,Elementary,Broadus Wood
2022-2023,ACPS,Brownsville Elementary,All Students,80,13.8,Elementary,Brownsville
2022-2023,ACPS,Brownsville Elementary,Asian,5,17.2,Elementary,Brownsville
2022-2023,ACPS,Brownsville Elementary,Black,1,5.9,Elementary,Brownsville
2022-2023,ACPS,Brownsville Elementary,Hispanic,4,14.3,Elementary,Brownsville
2022-2023,ACPS,Brownsville Elementary,Native Hawaiian,0,0,Elementary,Brownsville
2022-2023,ACPS,Brownsville Elementary,White,65,13.9,Elementary,Brownsville
2022-2023,ACPS,Brownsville Elementary,Multiple Races,5,13.9,Elementary,Brownsville
2022-2023,ACPS,Brownsville Elementary,Students with Disabilities,20,30.3,Elementary,Brownsville
2022-2023,ACPS,Brownsville Elementary,Economically Disadvantaged,30,29.4,Elementary,Brownsville
2022-2023,ACPS,Brownsville Elementary,English Learners,3,23.1,Elementary,Brownsville
2022-2023,ACPS,Brownsville Elementary,Military Connected,1,6.7,Elementary,Brownsville
2022-2023,ACPS,Community Lab School,All Students,18,9.6,Middle,Community Lab
2022-2023,ACPS,Community Lab School,American Indian,0,0,Middle,Community Lab
2022-2023,ACPS,Community Lab School,Asian,0,0,Middle,Community Lab
2022-2023,ACPS,Community Lab School,Black,1,10,Middle,Community Lab
2022-2023,ACPS,Community Lab School,Hispanic,2,9.1,Middle,Community Lab
2022-2023,ACPS,Community Lab School,White,11,8.5,Middle,Community Lab
2022-2023,ACPS,Community Lab School,Multiple Races,2,10.5,Middle,Community Lab
2022-2023,ACPS,Community Lab School,Students with Disabilities,4,10.5,Middle,Community Lab
2022-2023,ACPS,Community Lab School,Economically Disadvantaged,2,13.3,Middle,Community Lab
2022-2023,ACPS,Community Lab School,English Learners,0,0,Middle,Community Lab
2022-2023,ACPS,Community Lab School,Military Connected,0,0,Middle,Community Lab
2022-2023,ACPS,Community Lab School,Foster Care,0,0,Middle,Community Lab
2022-2023,ACPS,Crozet Elementary,All Students,96,18.5,Elementary,Crozet
2022-2023,ACPS,Crozet Elementary,Asian,2,11.8,Elementary,Crozet
2022-2023,ACPS,Crozet Elementary,Black,0,0,Elementary,Crozet
2022-2023,ACPS,Crozet Elementary,Hispanic,9,25,Elementary,Crozet
2022-2023,ACPS,Crozet Elementary,White,70,16.4,Elementary,Crozet
2022-2023,ACPS,Crozet Elementary,Multiple Races,10,33.3,Elementary,Crozet
2022-2023,ACPS,Crozet Elementary,Students with Disabilities,11,24.4,Elementary,Crozet
2022-2023,ACPS,Crozet Elementary,Economically Disadvantaged,37,45.1,Elementary,Crozet
2022-2023,ACPS,Crozet Elementary,English Learners,0,0,Elementary,Crozet
